,url,datetime,header,rent_type,price,district,floor,address,owner,house_type,area,condition,bathroom,accommodations
2476,https://krisha.kz/a/show/660557585,2020-07-16 16:42:29,"1-комнатная квартира, 36 м², 1/13 этаж помесячно",квартира,140000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Жетысу-1 28 А, Алматы",Хозяин,"монолитный, 2019 г.п.","36 м², жилая — 16 м², кухня — 9 м²",евроремонт,совмещенный,полностью меблирована
2475,https://krisha.kz/a/show/660557554,2020-07-16 16:42:26,"1-комнатная квартира, 60 м², 6/9 этаж помесячно",квартира,60000,Алмалинский р-н,,"Алмалинский р-н, Ударная 21, Алматы",Хозяин,"кирпичный, 2010 г.п.","60 м², жилая — 40 м², кухня — 25 м²",хорошее,совмещенный,полностью меблирована
2474,https://krisha.kz/a/show/660557539,2020-07-16 16:42:23,"3-комнатная квартира, 75 м², 1/5 этаж помесячно",квартира,165000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Алмагуль, Жарокова 269А — Байкадамова, Алматы",Хозяин,"панельный, 1972 г.п.","75 м², кухня — 12 м²",хорошее,раздельный,полностью меблирована
2473,https://krisha.kz/a/show/22261097,2020-07-16 16:42:20,"2-комнатная квартира, 55 м², 6 этаж помесячно",квартира,150000,,,"Бальзака 8 — Попова, Алматы",Хозяин,"панельный, 2000 г.п.","55 м², кухня — 12 м²",хорошее,раздельный,полностью меблирована
2472,https://krisha.kz/a/show/660234082,2020-07-16 16:42:17,"1-комнатная квартира, 35 м², 3/3 этаж помесячно",квартира,100000,Жетысуский р-н,,"Жетысуский р-н, Сейфуллина 453 — Райымбека, Алматы",Хозяин,"кирпичный, 1972 г.п.","35 м², жилая — 25 м², кухня — 7 м²",среднее,совмещенный,частично меблирована
2471,https://krisha.kz/a/show/55853018,2020-07-16 16:42:14,"2-комнатная квартира, 70 м², 14/22 этаж помесячно",квартира,210000,Бостандыкский р-н,,"Бостандыкский р-н, Каблукова 270 — Торайгырова, Алматы",Вариант Казахстан,"монолитный, 2007 г.п.","70 м², кухня — 13 м²",евроремонт,2 с/у и более,полностью меблирована
2470,https://krisha.kz/a/show/58005651,2020-07-16 16:42:11,"3-комнатная квартира, 130 м², 9/12 этаж помесячно",квартира,500000,Бостандыкский р-н,,"Бостандыкский р-н, Ходжанова 92 — Аль-Фараби, Алматы",Хозяин,"монолитный, 2017 г.п.","130 м², кухня — 17 м²",евроремонт,2 с/у и более,полностью меблирована
2469,https://krisha.kz/a/show/660233977,2020-07-16 16:42:08,"2-комнатная квартира, 75 м², 13/18 этаж помесячно",квартира,200000,Алмалинский р-н,,"Алмалинский р-н, Брусиловского 159, Алматы",Хозяин,"монолитный, 2016 г.п.",75 м²,евроремонт,совмещенный,полностью меблирована
2468,https://krisha.kz/a/show/30479846,2020-07-16 16:42:05,"1-комнатная квартира, 40 м², 1/9 этаж помесячно",квартира,85000,Бостандыкский р-н,,"Бостандыкский р-н, Аль-Фараби 127 — Навои, Алматы",Хозяин,"панельный, 1980 г.п.","40 м², жилая — 25 м², кухня — 8 м²",хорошее,совмещенный,полностью меблирована
2467,https://krisha.kz/a/show/660557381,2020-07-16 16:42:02,"2-комнатная квартира, 60 м², 1/2 этаж помесячно",квартира,100000,Алмалинский р-н,,"Алмалинский р-н, Шевченко 147 Д — Манаса, Алматы",Хозяин,"кирпичный, 1979 г.п.","60 м², кухня — 10 м²",хорошее,совмещенный,полностью меблирована
2466,https://krisha.kz/a/show/660390727,2020-07-16 16:41:59,"2-комнатная квартира, 120 м², 3/13 этаж помесячно",квартира,250000,Медеуский р-н,,"Медеуский р-н, Абдулинных — Гоголя, Алматы",Хозяин,"монолитный, 2018 г.п.","120 м², жилая — 100 м², кухня — 20 м²",евроремонт,совмещенный,частично меблирована
2465,https://krisha.kz/a/show/660557088,2020-07-16 16:41:55,"3-комнатная квартира, 66 м², 3/12 этаж помесячно",квартира,180000,Медеуский р-н,,"Медеуский р-н, мкр Самал-2, Мкр Самал-2 86 — Мендыкулова, Алматы",Хозяин,"монолитный, 1991 г.п.","66 м², жилая — 50 м², кухня — 9 м²",хорошее,раздельный,полностью меблирована
2464,https://krisha.kz/a/show/660557230,2020-07-16 16:41:52,"2-комнатная квартира, 65 м², 3 этаж помесячно",квартира,110000,Алмалинский р-н,,"Алмалинский р-н, мкр Тастак-3, Гайдара 40, Алматы",Хозяин,"панельный, 1986 г.п.",65 м²,хорошее,раздельный,полностью меблирована
2463,https://krisha.kz/a/show/660557314,2020-07-16 16:41:49,"2-комнатная квартира, 45 м², 2/4 этаж помесячно",квартира,120000,Бостандыкский р-н,,"Бостандыкский р-н, Тимирязева 67 — Манаса, Алматы",Хозяин,"панельный, 1970 г.п.","45 м², жилая — 40 м², кухня — 9 м²",среднее,совмещенный,полностью меблирована
2462,https://krisha.kz/a/show/57174111,2020-07-16 16:41:46,"1-комнатная квартира, 40 м², 2/2 этаж помесячно",квартира,110000,Алмалинский р-н,,"Алмалинский р-н, Сейфуллина 524 — Шевченко, Алматы",Хозяин,"кирпичный, 1950 г.п.","40 м², жилая — 22 м², кухня — 12 м²",евроремонт,совмещенный,полностью меблирована
2461,https://krisha.kz/a/show/55250837,2020-07-16 16:41:43,"1-комнатная квартира, 34 м², 5/9 этаж помесячно",квартира,100000,Медеуский р-н,,"Медеуский р-н, Достык — Жолдасбекова, Алматы",Хозяин,"кирпичный, 1999 г.п.","34 м², жилая — 18 м², кухня — 9 м²",хорошее,раздельный,полностью меблирована
2460,https://krisha.kz/a/show/48443734,2020-07-16 16:41:40,"1-комнатная квартира, 32 м², 2/2 этаж помесячно",квартира,55000,Турксибский р-н,,"Турксибский р-н, Ганибед — Аймауытова, Алматы",Apartamenty Almaty,"кирпичный, 2018 г.п.","32 м², жилая — 18 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
2459,https://krisha.kz/a/show/56496089,2020-07-16 16:41:37,"3-комнатная квартира, 112 м², 5/11 этаж помесячно",квартира,250000,Алмалинский р-н,,"Алмалинский р-н, Муратбаева 189, Алматы",Хозяин,"монолитный, 2006 г.п.","112 м², жилая — 70 м²",евроремонт,раздельный,полностью меблирована
2458,https://krisha.kz/a/show/660367060,2020-07-16 16:41:34,"1-комнатная квартира, 45 м², 4/9 этаж помесячно",квартира,80000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Аксай-3, Мкр Аксай-3 7, Алматы",ТANA REALTY,"монолитный, 1991 г.п.","45 м², жилая — 20 м², кухня — 10 м²",хорошее,раздельный,частично меблирована
2457,https://krisha.kz/a/show/660390060,2020-07-16 16:41:31,"2-комнатная квартира, 66 м², 3/10 этаж помесячно",квартира,160000,Медеуский р-н,,"Медеуский р-н, Жетысуская 8, Алматы",ТANA REALTY,"монолитный, 2017 г.п.",66 м²,хорошее,совмещенный,полностью меблирована
2456,https://krisha.kz/a/show/56243039,2020-07-16 16:41:28,"1-комнатная квартира, 30 м², 3/4 этаж помесячно",квартира,130000,Бостандыкский р-н,,"Бостандыкский р-н, Байтурсынова — Абая, Алматы",Хозяин,"кирпичный, 1966 г.п.","30 м², жилая — 18 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
2455,https://krisha.kz/a/show/660554570,2020-07-16 16:41:25,"2-комнатная квартира, 50 м², 5/5 этаж помесячно",квартира,115000,Алмалинский р-н,,"Алмалинский р-н, Гоголя 140 — Шагабутдинова,гоголя, Алматы",Хозяин,"кирпичный, 1983 г.п.","50 м², жилая — 30 м², кухня — 9 м²",хорошее,раздельный,полностью меблирована
2454,https://krisha.kz/a/show/660513319,2020-07-16 16:41:22,"1-комнатная квартира, 32 м², 3/4 этаж помесячно",квартира,100000,Алмалинский р-н,,"Алмалинский р-н, Жамбыла — Нурмакова, Алматы",Apartamenty Almaty,"кирпичный, 1968 г.п.","32 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
2453,https://krisha.kz/a/show/52238061,2020-07-16 16:41:19,"1-комнатная квартира, 40 м², 2/5 этаж помесячно",квартира,125000,Медеуский р-н,,"Медеуский р-н, мкр Самал-1, проспект Достык 89/2 — проспект Назарбаева, Алматы",Булат и К,"кирпичный, 1990 г.п.",40 м²,евроремонт,совмещенный,полностью меблирована
2452,https://krisha.kz/a/show/52213537,2020-07-16 16:41:16,"2-комнатная квартира, 42 м², 3/4 этаж помесячно",квартира,115000,Бостандыкский р-н,,"Бостандыкский р-н, проспект Гагарина — Басенова, Алматы",РЕГИОН 02,"кирпичный, 1969 г.п.",42 м²,хорошее,совмещенный,полностью меблирована
2451,https://krisha.kz/a/show/57585103,2020-07-16 16:41:12,"3-комнатная квартира, 90 м², 7/8 этаж помесячно",квартира,220000,Медеуский р-н,,"Медеуский р-н, проспект Достык 42 — Кабанбай Батыра, Алматы",Булат и К,"кирпичный, 1980 г.п.","90 м², кухня — 16 м²",хорошее,2 с/у и более,полностью меблирована
2450,https://krisha.kz/a/show/660491596,2020-07-16 16:41:09,"2-комнатная квартира, 65 м², 11/14 этаж помесячно",квартира,300000,Бостандыкский р-н,,"Бостандыкский р-н, Кожабекова 17/2 — Аль-фараби, Алматы",РЕГИОН 02,"монолитный, 2019 г.п.",65 м²,евроремонт,совмещенный,полностью меблирована
2449,https://krisha.kz/a/show/660436438,2020-07-16 16:41:06,"3-комнатная квартира, 64 м², 4/5 этаж помесячно",квартира,150000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Орбита-4 3, Алматы",Apartamenty Almaty,"панельный, 1988 г.п.",64 м²,хорошее,совмещенный,полностью меблирована
2448,https://krisha.kz/a/show/660385934,2020-07-16 16:41:03,"1-комнатная квартира, 32.5 м², 5/5 этаж помесячно",квартира,150000,Бостандыкский р-н,,"Бостандыкский р-н, Жарокова 171 А — Жандосова, Алматы",Хозяин,"кирпичный, 1985 г.п.","32.5 м², жилая — 17.6 м², кухня — 7.4 м²",хорошее,совмещенный,полностью меблирована
2447,https://krisha.kz/a/show/53307896,2020-07-16 16:41:00,"1-комнатная квартира, 48 м², 4/5 этаж помесячно",квартира,100000,Алмалинский р-н,,"Алмалинский р-н, Кожамкулова 200/14 — Богенбай Батыра, Алматы",Агентство Недвижимости STATUS - A,"кирпичный, 1980 г.п.","48 м², жилая — 20 м², кухня — 16 м²",евроремонт,раздельный,полностью меблирована
2446,https://krisha.kz/a/show/57227271,2020-07-16 16:40:57,"2-комнатная квартира, 70 м², 4/5 этаж помесячно",квартира,100200,Ауэзовский р-н,,"Ауэзовский р-н, Момышулы 145 — Рыскулова, Алматы",Хозяин,"кирпичный, 2010 г.п.","70 м², жилая — 30 м², кухня — 10 м²",евроремонт,раздельный,полностью меблирована
2445,https://krisha.kz/a/show/660530902,2020-07-16 16:40:54,"2-комнатная квартира, 55 м², 8/12 этаж помесячно",квартира,110000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Аксай-1А, Мкр Аксай-1А 12 — Толе Би, Алматы",M2 Realty,"монолитный, 1995 г.п.","55 м², кухня — 9 м²",евроремонт,раздельный,полностью меблирована
2444,https://krisha.kz/a/show/56754673,2020-07-16 16:40:51,"2-комнатная квартира, 56 м², 2/3 этаж помесячно",квартира,150000,Алмалинский р-н,,"Алмалинский р-н, Жарокова — Богенбай Батыра, Алматы",Apartamenty Almaty,"кирпичный, 1972 г.п.","56 м², жилая — 32 м², кухня — 7 м²",евроремонт,совмещенный,полностью меблирована
2443,https://krisha.kz/a/show/660508293,2020-07-16 16:40:48,"2-комнатная квартира, 50 м², 5/13 этаж помесячно",квартира,200000,Алмалинский р-н,,"Алмалинский р-н, Сейфуллина — Жибек жолы, Алматы",Хозяин,"монолитный, 2015 г.п.","50 м², жилая — 21 м², кухня — 11 м²",евроремонт,совмещенный,полностью меблирована
2442,https://krisha.kz/a/show/660547729,2020-07-16 16:40:45,"3-комнатная квартира, 75 м², 3/4 этаж помесячно",квартира,160000,Алмалинский р-н,,"Алмалинский р-н, Гоголя 96/98 — Наурызбай батыра, Алматы",Хозяин,"кирпичный, 1966 г.п.","75 м², жилая — 52 м², кухня — 9 м²",хорошее,раздельный,полностью меблирована
2441,https://krisha.kz/a/show/57164878,2020-07-16 16:40:41,"1-комнатная квартира, 55 м², 10/11 этаж помесячно",квартира,220000,Медеуский р-н,,"Медеуский р-н, Барибаева 43/1 — Казыбек би, Алматы",Хозяин,"монолитный, 2019 г.п.","55 м², жилая — 38 м², кухня — 14 м²",евроремонт,совмещенный,полностью меблирована
2440,https://krisha.kz/a/show/53225399,2020-07-16 16:40:38,"3-комнатная квартира, 70 м², 3/5 этаж помесячно",квартира,160000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Орбита-3, Габидена Мустафина, Алматы",Apartamenty Almaty,"кирпичный, 1990 г.п.","70 м², кухня — 10 м²",хорошее,раздельный,полностью меблирована
2439,https://krisha.kz/a/show/52025094,2020-07-16 16:40:35,"2-комнатная квартира, 49 м², 3/13 этаж помесячно",квартира,250000,Медеуский р-н,,"Медеуский р-н, проспект Достык — Сатпаева, Алматы","Агентство недвижимости ""LS Apartments""","монолитный, 2018 г.п.",49 м²,евроремонт,совмещенный,полностью меблирована
2438,https://krisha.kz/a/show/5313061,2020-07-16 16:40:32,"3-комнатная квартира, 150 м², 3/7 этаж помесячно",квартира,400000,Медеуский р-н,,"Медеуский р-н, мкр Самал-2, Мендикулова 105 — Бектурова, Алматы",Хозяин,"монолитный, 2004 г.п.",150 м²,евроремонт,2 с/у и более,полностью меблирована
2437,https://krisha.kz/a/show/660200045,2020-07-16 16:40:29,"1-комнатная квартира, 33 м², 1/5 этаж помесячно",квартира,80000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Орбита-4, Мкр Орбита-4 24, Алматы",Сауле Тлеубаева,"панельный, 1976 г.п.","33 м², жилая — 18 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
2436,https://krisha.kz/a/show/660541871,2020-07-16 16:40:26,"1-комнатная квартира, 46 м², 5/12 этаж помесячно",квартира,120000,Бостандыкский р-н,,"Бостандыкский р-н, Бабаева 158 — Радостовца, Алматы",Sweet Home,"монолитный, 2016 г.п.","46 м², кухня — 10 м²",евроремонт,совмещенный,полностью меблирована
2435,https://krisha.kz/a/show/660351354,2020-07-16 16:40:23,"2-комнатная квартира, 54 м², 11/16 этаж помесячно",квартира,180000,Бостандыкский р-н,,"Бостандыкский р-н, Навои 208/1 — Торайгырова, Алматы",Prospekt City,"монолитный, 2016 г.п.",54 м²,евроремонт,совмещенный,полностью меблирована
2434,https://krisha.kz/a/show/660549698,2020-07-16 16:40:20,"2-комнатная квартира, 58 м², 9/12 этаж помесячно",квартира,110000,Алатауский р-н,,"Алатауский р-н, Мкр Нуркент 33/1, Алматы",риэлторская группа КВАДРАТ,"монолитный, 2017 г.п.","58 м², кухня — 12 м²",евроремонт,раздельный,полностью меблирована
2433,https://krisha.kz/a/show/58487267,2020-07-16 16:40:17,"2-комнатная квартира, 52 м², 3/5 этаж помесячно",квартира,165000,Алмалинский р-н,,"Алмалинский р-н, Кабанбай Батыра 236 — Исаева, Алматы",Хозяин,"кирпичный, 1992 г.п.","52 м², жилая — 28 м², кухня — 9 м²",евроремонт,раздельный,полностью меблирована
2432,https://krisha.kz/a/show/660556010,2020-07-16 16:40:14,"1-комнатная квартира, 34 м², 3/5 этаж помесячно",квартира,100000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Аксай-2 48 — Елемесова, Алматы",Хозяин,"панельный, 1982 г.п.","34 м², жилая — 20 м², кухня — 6 м²",евроремонт,совмещенный,полностью меблирована
2431,https://krisha.kz/a/show/30424027,2020-07-16 16:40:11,"4-комнатная квартира, 160 м², 7/7 этаж помесячно",квартира,500000,Медеуский р-н,,"Медеуский р-н, Фурманова 301, Алматы",Хозяин,"монолитный, 2008 г.п.",160 м²,евроремонт,2 с/у и более,полностью меблирована
2430,https://krisha.kz/a/show/53127773,2020-07-16 16:40:08,"1-комнатная квартира, 45 м², 2/9 этаж помесячно",квартира,80000,Наурызбайский р-н,,"Наурызбайский р-н, мкр Шугыла, Алматы",ТANA REALTY,"монолитный, 2018 г.п.","45 м², жилая — 20 м², кухня — 10 м²",хорошее,совмещенный,полностью меблирована
2429,https://krisha.kz/a/show/58302790,2020-07-16 16:40:05,"3-комнатная квартира, 90 м², 4/16 этаж помесячно",квартира,200000,Алмалинский р-н,,"Алмалинский р-н, улица Брусиловского 159, Алматы",РЕГИОН 02,"монолитный, 2011 г.п.",90 м²,евроремонт,совмещенный,полностью меблирована
2428,https://krisha.kz/a/show/52241692,2020-07-16 16:40:02,"1-комнатная квартира, 33 м², 1/4 этаж помесячно",квартира,85000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №9 44, Алматы",Шанырак,"панельный, 1968 г.п.","33 м², жилая — 18 м², кухня — 6 м²",евроремонт,совмещенный,полностью меблирована
2427,https://krisha.kz/a/show/660519742,2020-07-16 16:39:58,"2-комнатная квартира, 45 м², 2/5 этаж помесячно",квартира,150000,Алмалинский р-н,,"Алмалинский р-н, Шагабутдинова 103, Алматы",Шанырак,"панельный, 1975 г.п.","45 м², жилая — 30 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
2426,https://krisha.kz/a/show/50898348,2020-07-16 16:39:55,"1-комнатная квартира, 34 м², 5/5 этаж помесячно",квартира,100000,Алмалинский р-н,,"Алмалинский р-н, Богембай батыра — Айтиева, Алматы",Apartamenty Almaty,"кирпичный, 1980 г.п.","34 м², кухня — 8 м²",хорошее,совмещенный,полностью меблирована
2425,https://krisha.kz/a/show/57321664,2020-07-16 16:39:52,"1-комнатная квартира, 50 м², 14/14 этаж помесячно",квартира,170000,Бостандыкский р-н,,"Бостандыкский р-н, Хусаинова 225, Алматы",Хозяин,"монолитный, 2008 г.п.","50 м², жилая — 29 м², кухня — 6.4 м²",евроремонт,совмещенный,полностью меблирована
2424,https://krisha.kz/a/show/50762439,2020-07-16 16:39:49,"1-комнатная квартира, 35 м², 1/4 этаж помесячно",квартира,130000,Алмалинский р-н,,"Алмалинский р-н, Панфилова 151 — Курмангазы, Алматы",Теремок,"кирпичный, 1963 г.п.","35 м², жилая — 20 м², кухня — 9 м²",евроремонт,совмещенный,полностью меблирована
2423,https://krisha.kz/a/show/57356933,2020-07-16 16:39:46,"1-комнатная квартира, 54 м², 4/7 этаж помесячно",квартира,130000,Алмалинский р-н,,"Алмалинский р-н, Абая, Алматы",Apartamenty Almaty,"кирпичный, 1980 г.п.",54 м²,хорошее,совмещенный,полностью меблирована
2422,https://krisha.kz/a/show/54836249,2020-07-16 16:39:43,"2-комнатная квартира, 54 м², 6/9 этаж помесячно",квартира,170000,Медеуский р-н,,"Медеуский р-н, Самал 2, Алматы",TOP AGENT,"монолитный, 1995 г.п.",54 м²,хорошее,раздельный,полностью меблирована
2421,https://krisha.kz/a/show/53144869,2020-07-16 16:39:40,"3-комнатная квартира, 120 м², 16/21 этаж помесячно",квартира,1150000,Бостандыкский р-н,,"Бостандыкский р-н, проспект Аль-Фараби 77/3 — Весновка, Алматы",Beauty home,"монолитный, 2014 г.п.",120 м²,евроремонт,2 с/у и более,полностью меблирована
2420,https://krisha.kz/a/show/57687392,2020-07-16 16:39:37,"2-комнатная квартира, 60 м², 4/9 этаж помесячно",квартира,130000,Бостандыкский р-н,,"Бостандыкский р-н, мкр Коктем-1, Мкр Коктем-1, Алматы",Apartamenty Almaty,"панельный, 1995 г.п.",60 м²,хорошее,раздельный,полностью меблирована
2419,https://krisha.kz/a/show/58174846,2020-07-16 16:39:33,"5-комнатная квартира, 214 м², 17/18 этаж помесячно",квартира,2000000,Медеуский р-н,,"Медеуский р-н, проспект Назарбаева 223 — Махатмы Ганди, Алматы",риэлторская группа КВАДРАТ,"монолитный, 2014 г.п.",214 м²,евроремонт,2 с/у и более,полностью меблирована
2418,https://krisha.kz/a/show/660125407,2020-07-16 16:39:30,"1-комнатная квартира, 35 м², 5/5 этаж помесячно",квартира,120000,Алмалинский р-н,,"Алмалинский р-н, проспект Жибек Жолы — проспект Абылай Хана, Алматы",Apartamenty Almaty,"кирпичный, 1986 г.п.",35 м²,евроремонт,совмещенный,полностью меблирована
2417,https://krisha.kz/a/show/660428785,2020-07-16 16:39:27,"1-комнатная квартира, 30 м², 2/4 этаж помесячно",квартира,70000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Тастак-1, Алматы",риэлторская группа КВАДРАТ,"панельный, 1965 г.п.","30 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
2416,https://krisha.kz/a/show/55141690,2020-07-16 16:39:24,"3-комнатная квартира, 75 м², 2/9 этаж помесячно",квартира,150000,Ауэзовский р-н,,"Ауэзовский р-н, мкр Таугуль-1, Токтабаева — Сулейменова, Алматы",Хозяин,"панельный, 1980 г.п.","75 м², кухня — 12 м²",хорошее,совмещенный,полностью меблирована
2415,https://krisha.kz/a/show/660303362,2020-07-16 16:39:21,"1-комнатная квартира, 40 м², 5/9 этаж помесячно",квартира,80000,Алатауский р-н,,"Алатауский р-н, Момышулы 69 — Рыскулова, Алматы",Хозяин,"панельный, 2017 г.п.","40 м², кухня — 9 м²",евроремонт,совмещенный,полностью меблирована
2414,https://krisha.kz/a/show/29685822,2020-07-16 16:39:18,"2-комнатная квартира, 70 м² помесячно",квартира,400000,Медеуский р-н,,"Медеуский р-н, мкр Самал-3, Кажымукана 59 — Назарбаева, Алматы",Prospekt City,"монолитный, 2016 г.п.",70 м²,евроремонт,2 с/у и более,полностью меблирована
2413,https://krisha.kz/a/show/58075321,2020-07-16 16:39:15,"2-комнатная квартира, 86 м², 9/9 этаж помесячно",квартира,180000,Алмалинский р-н,,"Алмалинский р-н, Байганина 28 — Жамбыла, Алматы",Хозяин,"монолитный, 2009 г.п.",86 м²,хорошее,2 с/у и более,полностью меблирована
2412,https://krisha.kz/a/show/58291878,2020-07-16 16:39:12,"2-комнатная квартира, 48 м², 3/5 этаж помесячно",квартира,110000,Бостандыкский р-н,,"Бостандыкский р-н, Байкадамова — Розыбакиева, Алматы",Хозяин,"панельный, 1989 г.п.","48 м², жилая — 29 м², кухня — 6 м²",хорошее,раздельный,полностью меблирована
2411,https://krisha.kz/a/show/660528330,2020-07-16 16:39:09,"2-комнатная квартира, 46 м², 1/4 этаж помесячно",квартира,80000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №5 35, Алматы",Хозяин,"панельный, 1966 г.п.","46 м², жилая — 30 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
2410,https://krisha.kz/a/show/58292892,2020-07-16 16:39:06,"1-комнатная квартира, 38 м², 3/5 этаж помесячно",квартира,90000,Медеуский р-н,,"Медеуский р-н, мкр Думан-1, Думан, Алматы",Хозяин,"панельный, 2006 г.п.",38 м²,хорошее,совмещенный,полностью меблирована
2409,https://krisha.kz/a/show/57111482,2020-07-16 16:39:03,"2-комнатная квартира, 46 м², 3/4 этаж помесячно",квартира,107000,Ауэзовский р-н,,"Ауэзовский р-н, мкр №3, 3-й микрорайон 57, Алматы",Хозяин,"панельный, 1970 г.п.","46 м², жилая — 28 м², кухня — 6 м²",хорошее,совмещенный,полностью меблирована
2408,https://krisha.kz/a/show/52860398,2020-07-16 16:39:00,"4-комнатная квартира, 140 м², 9/10 этаж помесячно",квартира,400000,Алмалинский р-н,,"Алмалинский р-н, Жибек жолы — Панфилова, Алматы",Хозяин,"монолитный, 1989 г.п.","140 м², жилая — 100 м², кухня — 16 м²",евроремонт,совмещенный,полностью меблирована
2407,https://krisha.kz/a/show/16568683,2020-07-16 16:38:57,"1-комнатная квартира, 40 м², 17/21 этаж помесячно",квартира,100000,Бостандыкский р-н,,"Бостандыкский р-н, Абая 223 — Тлендиева, Алматы",Хозяин,"монолитный, 2012 г.п.",40 м²,хорошее,совмещенный,полностью меблирована
